Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
ECON210,B,İktisada Giriş,İşletme Fakültesi,6,ERCAN ASLAN,"Cuma | 08:40 - 11:30
"
ECON301,A,Ekonometri I,İşletme Fakültesi,6,UMUT AKOVALI,"Pazartesi | 15:40 - 18:30
Cuma | 14:40 - 15:30
"
ECON302,A,Ekonometri II,İşletme Fakültesi,6,YUSUF KULU,"Pazartesi | 08:40 - 11:30
Cuma | 11:40 - 12:30
"
ECON303,A,Uluslararası Ticaret ve Ekonomi,İşletme Fakültesi,6,GÖNÜL ŞENGÜL,"Cuma | 08:40 - 11:30
"
ECON304,A,Endüstriyel Organizasyon,İşletme Fakültesi,6,BAŞAK ALTAN ÖZENER,"Salı | 13:40 - 16:30
"
ECON420,A,Büyüme ve Gelişme,İşletme Fakültesi,6,ONURSAL BAĞIRGAN,"Pazartesi | 12:40 - 15:30
"
ENTR201,A,Girişimcilik,İşletme Fakültesi,6,MERİÇ BIÇAKCIOĞLU,"Çarşamba | 08:40 - 11:30
"
ENTR302,A,İş Modeli Geliştirme,İşletme Fakültesi,6,IRMAK MUTLU,"Pazartesi | 16:40 - 19:30
"
ENTR304,A,İnsan Odaklı Tasarım,İşletme Fakültesi,6,AHMET MURAT FİŞ,"Çarşamba | 12:40 - 15:30
"
ENTR404,A,Bitirme Projesi,İşletme Fakültesi,6,AHMET MURAT FİŞ,"Perşembe | 10:40 - 13:30
"
FIN202,A,Finans,İşletme Fakültesi,6,MEHMET ERKAN SAVRAN,"Çarşamba | 12:40 - 15:30
"
FIN202,B,Finans,İşletme Fakültesi,6,MEHMET ERKAN SAVRAN,"Pazartesi | 08:40 - 11:30
"
FIN202,C,Finans,İşletme Fakültesi,6,CANSU İSKENDEROĞLU ŞAHİN,"Çarşamba | 12:40 - 15:30
"
FIN204,A,Finansal Tablolar Analizi,İşletme Fakültesi,4,CANSU İSKENDEROĞLU ŞAHİN,"Perşembe | 11:40 - 14:30
"
FIN301,A,Yatırımlar,İşletme Fakültesi,6,ERRIKOS MELISSINOS,"Çarşamba | 12:40 - 15:30
"
FIN302,A,Kurumsal Finans,İşletme Fakültesi,6,ÖZLEM AKIN,"Perşembe | 10:40 - 13:30
"
FIN312,A,Bankacılık ve Finansal Aracılık,İşletme Fakültesi,6,ÖZLEM AKIN,"Pazartesi | 12:40 - 15:30
"
FIN314,A,Gayrimenkul Finansmanı,İşletme Fakültesi,6,IŞIL EROL,"Salı | 10:40 - 13:30
"
FIN412,A,İleri Düzey Yatırımlar,İşletme Fakültesi,6,UMUT GÖKÇEN,"Salı | 13:40 - 16:30
"
IBUS104,A,Küresel Yöneticiliğe ilk Adım,İşletme Fakültesi,6,NESİM AVİĞDOR,"Çarşamba | 12:40 - 15:30
"
IBUS104,B,Küresel Yöneticiliğe ilk Adım,İşletme Fakültesi,6,NESİM AVİĞDOR,"Salı | 11:40 - 14:30
"
IBUS203,A,Dünyayı Anlamak: Kısa Bir Giriş,İşletme Fakültesi,6,ASLIHAN PERİHAN TURAN,"Perşembe | 09:40 - 12:30
"
IBUS204,A,Uluslararası İşletme,İşletme Fakültesi,6,İLAYDA NEMLİOĞLU ÖNCÜ,"Salı | 11:40 - 14:30
