code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
PLT209,B,Seyrüsefer (PPL),Havacılık ve Uzay Bilimleri Fakültesi,6,CELAL ALPAY HAVLE,"Çarşamba | 08:40 - 10:30
Perşembe | 10:40 - 11:30
Perşembe | 10:40 - 11:30
"
PLT209,C,Seyrüsefer (PPL),Havacılık ve Uzay Bilimleri Fakültesi,6,CELAL ALPAY HAVLE,"Çarşamba | 10:40 - 12:30
Perşembe | 11:40 - 12:30
Perşembe | 11:40 - 12:30
"
PLT211,A,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 12:40 - 13:30
"
PLT211,B,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 13:40 - 14:30
"
PLT211,C,İşletme Prosedürleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,SEMİH SORAN,"Salı | 14:40 - 15:30
"
PLT213,A,İnsan Performansı ve Limitleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 13:40 - 14:30
"
PLT213,B,İnsan Performansı ve Limitleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 11:40 - 12:30
"
PLT213,C,İnsan Performansı ve Limitleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,PINAR GÖKALP,"Salı | 12:40 - 13:30
"
PLT215,A,Haberleşme (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BÜLENT AKSUM,"Salı | 09:40 - 10:30
"
PLT215,B,Haberleşme (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BÜLENT AKSUM,"Salı | 14:40 - 15:30
"
PLT215,C,Haberleşme (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET BÜLENT AKSUM,"Salı | 10:40 - 11:30
"
PLT217,A,Uçuş Prensipleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,ÇAĞLAR ÜÇLER,"Perşembe | 12:40 - 13:30
"
PLT217,B,Uçuş Prensipleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,ÇAĞLAR ÜÇLER,"Perşembe | 13:40 - 14:30
"
PLT217,C,Uçuş Prensipleri (PPL),Havacılık ve Uzay Bilimleri Fakültesi,2,ÇAĞLAR ÜÇLER,"Perşembe | 14:40 - 15:30
"
PLT221,A,Emniyet Yönetim Sistemi,Havacılık ve Uzay Bilimleri Fakültesi,6,LEYLA ADİLOĞLU YALÇINKAYA,"Cuma | 09:40 - 12:30
"
PLT301,A,Hava Hukuku (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET ERTÜRK,"Cuma | 08:40 - 11:30
"
PLT301,B,Hava Hukuku (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET ERTÜRK,"Cuma | 14:40 - 17:30
"
PLT303,A,Genel Uçak Bilgisi (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,6,SHAYAN RAMEZANZADEH,"Salı | 08:40 - 11:30
Çarşamba | 08:40 - 11:30
"
PLT303,B,Genel Uçak Bilgisi (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,6,SHAYAN RAMEZANZADEH,"Salı | 13:40 - 16:30
Çarşamba | 13:40 - 16:30
"
PLT305,A,Haberleşme (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET BÜLENT AKSUM,"Cuma | 14:40 - 17:30
"
PLT305,B,Haberleşme (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,3,MEHMET BÜLENT AKSUM,"Cuma | 08:40 - 11:30
"
PLT307,A,Uçuş İşletme Usulleri (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET ONUR BALKAN,"Perşembe | 09:40 - 11:30
"
PLT307,B,Uçuş İşletme Usulleri (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,2,MEHMET ONUR BALKAN,"Perşembe | 13:40 - 15:30
"
PLT309,A,İnsan Performansı ve Limitleri (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,4,TİLBE BAŞPINAR,"Pazartesi | 12:40 - 14:30
Çarşamba | 14:40 - 16:30
"
PLT309,B,İnsan Performansı ve Limitleri (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,4,TİLBE BAŞPINAR,"Pazartesi | 08:40 - 10:30
Çarşamba | 10:40 - 12:30
"
PLT311,A,Meteoroloji (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,6,HANDE TEMUR,"Pazartesi | 14:40 - 16:30
Çarşamba | 12:40 - 14:30
"
PLT311,B,Meteoroloji (ATPL),Havacılık ve Uzay Bilimleri Fakültesi,6,HANDE TEMUR,"Pazartesi | 10:40 - 12:30
Çarşamba | 08:40 - 10:30
"
PLT313,A,Havacılık İngilizcesi,Havacılık ve Uzay Bilimleri Fakültesi,6,PETEK ŞİRİN,"Pazartesi | 08:40 - 11:30
"
PLT313,B,Havacılık İngilizcesi,Havacılık ve Uzay Bilimleri Fakültesi,6,PETEK ŞİRİN,"Pazartesi | 13:40 - 16:30
"
PLT406,A,Ekip Kaynak Yönetimi,Havacılık ve Uzay Bilimleri Fakültesi,6,GÖKHAN KAYA,"Perşembe | 08:40 - 11:30
"
PLT411,A,Uçak Kaza Kırım İncelemeleri,Havacılık ve Uzay Bilimleri Fakültesi,6,HALUK TEKEREK,"Perşembe | 15:40 - 18:30
"
PLT412,A,Çoklu Ekip Koordinasyonu (ÇEK),Havacılık ve Uzay Bilimleri Fakültesi,6,GÖKHAN KAYA,"Perşembe | 12:40 - 15:30
"
ARCH101,A,Tasarım,Mimarlık ve Tasarım Fakültesi,8,SEMRA AYDINLI,"Pazartesi | 12:40 - 16:30
Perşembe | 08:40 - 12:30
"
ARCH101,B,Tasarım,Mimarlık ve Tasarım Fakültesi,8,DERYA YORGANCIOĞLU,"Pazartesi | 12:40 - 16:30
Perşembe | 08:40 - 12:30
"
ARCH101,C,Tasarım,Mimarlık ve Tasarım Fakültesi,8,BEYZA ŞAT,"Pazartesi | 12:40 - 16:30
Perşembe | 08:40 - 12:30
"
ARCH101,D,Tasarım,Mimarlık ve Tasarım Fakültesi,8,AYŞE BİKE BAYKARA,"Pazartesi | 12:40 - 16:30
Perşembe | 08:40 - 12:30
"
ARCH101,E,Tasarım,Mimarlık ve Tasarım Fakültesi,8,BURÇİN MIZRAK BİLEN,"Pazartesi | 12:40 - 16:30
Perşembe | 08:40 - 12:30
"
ARCH102,A,Mimari Tasarım Stüdyosu  I,Mimarlık ve Tasarım Fakültesi,8,DİDEM BOYACIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH102,B,Mimari Tasarım Stüdyosu  I,Mimarlık ve Tasarım Fakültesi,8,BEGÜM DİKER,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH105,A,Mimarlık Kültürü,Mimarlık ve Tasarım Fakültesi,3,MURAT ŞAHİN,"Salı | 09:40 - 12:30
"
ARCH107,A,Mimari Anlatım Teknikleri,Mimarlık ve Tasarım Fakültesi,5,İLKER FATİH ÖZORHON,"Salı | 13:40 - 17:30
"
ARCH107,B,Mimari Anlatım Teknikleri,Mimarlık ve Tasarım Fakültesi,5,DERYA YORGANCIOĞLU,"Salı | 13:40 - 17:30
"
ARCH107,C,Mimari Anlatım Teknikleri,Mimarlık ve Tasarım Fakültesi,5,EZGİ ÇİÇEK,"Salı | 12:40 - 16:30
"
ARCH110,A,Bilgisayar Destekli Tasarım,Mimarlık ve Tasarım Fakültesi,4,MEHMET EMİN BAYRAKTAR,"Cuma | 14:40 - 18:30
"
ARCH110,B,Bilgisayar Destekli Tasarım,Mimarlık ve Tasarım Fakültesi,4,FARUK CAN ÜNAL,"Cuma | 14:40 - 18:30
"
ARCH201,A,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,DİDEM BOYACIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH201,B,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,BEGÜM DİKER,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH201,C,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,İDİL ERDEMİR KOCAGİL,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH201,D,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,MEHMET EMİN BAYRAKTAR,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH201,E,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,HASAN TAŞTAN,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH201,F,Mimari Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,DERYA YORGANCIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
